"_acl.*.r",_acl.*.w,_acl.9eF1W1pu4q.r,_acl.9eF1W1pu4q.w,_acl.FQ1Xe0d6Qd.r,_acl.FQ1Xe0d6Qd.w,_acl.SnQkkuL1NC.r,_acl.SnQkkuL1NC.w,_acl.rIJxILE6XL.r,_acl.rIJxILE6XL.w,_acl.t0egIyLR5z.r,_acl.t0egIyLR5z.w,_created_at,_id,_p_autor,_p_estudiante,_p_tipo,_rperm.0,_rperm.1,_updated_at,_wperm.0,_wperm.1,actionTaken,aprobado,descripcion,fechaEntrega,grupos.0.__type,grupos.0.className,grupos.0.objectId,grupos.1.__type,grupos.1.className,grupos.1.objectId,grupos.2.__type,grupos.2.className,grupos.2.objectId,grupos.3.__type,grupos.3.className,grupos.3.objectId,materia,titulo
"",,,,,,,,,,,,2016-10-03T17:40:27.783Z,0frvueVpal,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-05T19:33:24.370Z,,,,true,Libro: Antes de escribir página 65.\nRealizar el ejercicio como el ejemplo utilizando color azul y color verde.\nGracias por su apoyo. \nMiss Miriam.,2016-10-04T17:40:33.000Z,Pointer,grupo,dTbUGaumaH,Pointer,grupo,pSku5ZBZAv,,,,,,,Español,
"",,,,,,,,,,,,2016-05-16T19:53:01.690Z,0hUU7dNrko,_User$2prODvgVi6,Estudiantes$22lw4r1Q0n,tipoAnuncio$4e5Ojw4gRT,,,2016-05-16T19:53:01.690Z,,,,true,"Buenos tardes papitos de kínder 1 A:\nLes recordamos que mañana martes 17 de mayo es la clase abierta de inglés.\nLos esperamos unos minutos antes, ya que iniciaremos puntualmente a las 9:30.\nPor falta de espacio podrán  asistir 2 personas como máximo.\nGracias por su apoyo y comprensión.\nCoordinación de Inglés.",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-10T17:43:19.048Z,0hamqQjadx,_User$2prODvgVi6,Estudiantes$fw6gURfK3A,tipoAnuncio$8RDIvLSSbA,,,2016-10-10T17:43:19.048Z,,,,true,"¡Buenas tardes!\nTodo bien con Sofi. Le estamos cuidando mucho. No se preocupe.\nMuchas gracias por enviarnos la playera de Sarita. Por el momento, no hemos recibido noticias de que la playera de Sofi se haya ido en otra mochila. Permítame  checarlo y yo le aviso si me la entregan.\nSaludos\nMiss Lala",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-11-08T16:19:18.343Z,0j5NKs2XQo,_User$OqM7Ei84I8,Estudiantes$eyaHhdBWHF,tipoAnuncio$knJCpPHggt,*,OqM7Ei84I8,2016-11-08T22:33:35.452Z,*,OqM7Ei84I8,true,true,"Hola\nAngela continuo con tos y se le agudizo, nos recomendo el doctor 2 dias de reposo.\nUna disculpa por avisar hasta ahorita.\nBuan dia.",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-03-16T14:28:04.863Z,0kXX59c8Q6,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-09-13T17:24:03.095Z,,,,true,"Buenos días papás de kínder 2: Les recuerdo que hoy es la firma de la copia de evaluación de su pequeño(a). Estaremos en un horario de 7:30 a 15:15 horas. Si no pueden asistir, los convocaremos un día más regresando de vacaciones.\nQuedamos a sus órdenes \nDirección Preescolar ",,Pointer,grupo,YUlRLGut9k,Pointer,grupo,HxsN3Wf3WF,,,,,,,General,
true,true,,,,,true,true,,,,,2016-10-17T13:43:35.541Z,0oV4ek5Uix,_User$SnQkkuL1NC,Estudiantes$g0bEXnk97K,tipoAnuncio$knJCpPHggt,*,SnQkkuL1NC,2016-10-17T15:04:43.341Z,*,SnQkkuL1NC,true,true,buenos días! Verito. comentando que Emilio se volvió a enfermar del estómago.  le di  exofur por la mañana. estoy pendiente cualquier signo de alarma.  gracias!!,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-12-06T20:15:49.044Z,0pOWjdWOur,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-12-12T18:36:17.888Z,,,,true,"Libreta de cuadrícula:\nCompletar la secuencia con la letra ""e"".\nGracias.\nMiss Carmelita.",2016-12-07T20:15:52.000Z,Pointer,grupo,YUlRLGut9k,Pointer,grupo,HxsN3Wf3WF,,,,,,,Español,
"",,,,,,,,,,,,2016-09-15T15:50:44.236Z,0qSGlzF4JC,_User$2prODvgVi6,Estudiantes$FIr4iWfIFD,tipoAnuncio$8RDIvLSSbA,,,2016-09-15T15:50:44.236Z,,,,true,Muchas gracias. Se las daremos con gusto!,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-29T14:25:22.208Z,0xR65GFFXA,_User$2prODvgVi6,Estudiantes$5G3TQdNiyN,tipoAnuncio$8RDIvLSSbA,,,2016-09-29T14:25:22.208Z,,,,true,"Estimados padres de familia:\nLes enviamos un cordial saludo y le solicitamos que nos traigan a la brevedad la leche especial de su pequeñito(a) y entregarla en el área de enfermería o a la Miss auxiliar en el carrusel.\nPor su atención, gracias\nAtentamente\nDepartamento de Enfermería.",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-03T16:45:45.343Z,0xxW3rvQS4,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-17T00:03:36.439Z,,,,true,"¡Buenos días!\n-Libro vamos a trazar página 18 \nTraza varias veces el ejercicio, comienza en el tache siguiendo la dirección de la flecha. \nGracias.\nMiss Alexa y Miss Sandra ",2016-10-04T16:45:51.000Z,Pointer,grupo,8zoHGyLKb7,Pointer,grupo,64pgpsXXxk,Pointer,grupo,JUJC6JvxFz,,,,Español,
"",,,,,,,,,,,,2016-12-12T17:52:51.226Z,0yLXEPptBW,_User$6Dd2miScat,Estudiantes$BdF5iyolar,tipoAnuncio$X84nYuH45F,,,2016-12-12T18:30:47.994Z,,,true,true,"Hola Miss Lala, buenos días. Tengo una duda. En años anteriores se ha permitido al alumnado ir de pants todos los días debido a las bajas temperaturas. Este año también se va a permitir? A partir de cuando?\nMuchas gracias!!!\n",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-25T15:36:42.153Z,10XvCscdww,_User$2prODvgVi6,Estudiantes$HCiAI0z8vv,tipoAnuncio$8RDIvLSSbA,,,2016-08-25T15:36:42.153Z,,,,true,Buenos días! \nRevisamos el expediente de Isabella y nos hace falta la CURP de papá. Le pedimos de favor enviarla o mandarnos el nombre completo y la fecha de nacimiento para obtenerla.\nQuedo a sus órdenes \nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-07T18:22:36.664Z,12cJwMwsYi,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-09-21T22:47:37.676Z,,,,true,"Página 33 del libro Antes de escribir.\nRealiza el ejercicio como el ejemplo utilizando color azul para las líneas  de arriba y color rojo para las líneas  de abajo.\nMuchas gracias \nMiss Miriam ",2016-09-08T18:22:43.000Z,Pointer,grupo,pSku5ZBZAv,Pointer,grupo,dTbUGaumaH,,,,,,,Español,
"",,,,,,,,,,,,2015-12-03T17:40:34.448Z,15WDf38TYm,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-04-20T00:21:52.077Z,,,,true,"Buenos días papitos:\nEl festival de Villancicos para kínder 1 A, kínder 1 B y  kínder 2 B será el jueves 10 de diciembre a las 10:00 horas. Los niños deben venir vestidos y peinados de la siguiente manera:\nPolo blanco (cuello alto), nenas y tenis blancos (muy limpios)\nEl viernes 11 será para kínder 2 A, kínder 3 A y Kínder 3 B. Por lo que les pedimos de favor,que ese día también vengan vestidos y peinados como el jueves.\nEl cupo es limitado a 3 personas máximo  por alumno. Favor de apoyarnos en este punto. El acceso al evento será por el estacionamiento. La puerta se abrirá a las 9:50 horas.\nLos alumnos asisten en horario normal. Si alguien gusta llevarse a su pequeño(a) al término del evento, favor de avisarnos y los entregamos en filtro.\nAgradecemos de antemano su apoyo y comprensión.\nDirección Preescolar",,Pointer,grupo,64pgpsXXxk,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-03T20:58:02.479Z,18jwSV0Nr1,_User$2prODvgVi6,Estudiantes$eyaHhdBWHF,tipoAnuncio$8RDIvLSSbA,,,2016-11-03T20:58:02.479Z,,,,true,"¡Buenas tardes!\nMe comentan sus misses que aquí están las 2 batas. Una está limpia y la otra la está usando. Hoy olvidaron mandar la chamarra y el suéter. No se preocupen. Aquí los tenemos. Y me pide Miss Ale buscar bien el Manuel, pues está casi segura que lo puso en la mochila, detrás de la ropa que ahí venía.\nCreo que la disculpa que ofrecemos hoy es triple. Qué pena.\nSigo a sus órdenes.\nMiss Lala",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-05-25T14:18:30.275Z,1BSvA5ArvI,_User$7x2fgY9PZu,Estudiantes$KnZt2qmy1M,tipoAnuncio$8RDIvLSSbA,*,7x2fgY9PZu,2016-05-25T14:18:30.275Z,*,7x2fgY9PZu,,true,Muy buen día! Mi pequeña amaneció con gripe por lo que no asistirá hoy. Comentar por favor con Miss Carmelita y Miss Melba. Muchas gracias.\nLuis Gómez,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-01-26T16:32:23.131Z,1Cv0il4vFX,_User$2prODvgVi6,Estudiantes$69Zeu68J2e,tipoAnuncio$8RDIvLSSbA,,,2016-01-26T16:32:23.131Z,,,,true,Enteradas. Gracias por avisarnos.\n,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-17T18:34:46.716Z,1ENschKUAW,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-26T01:15:44.888Z,,,,true,Libro: Antes de escribir página 85.\nRealizar el ejercicio de acuerdo al ejemplo.\nGracias por su apoyo.\nMiss Miriam.,2016-10-18T18:34:47.000Z,Pointer,grupo,dTbUGaumaH,Pointer,grupo,pSku5ZBZAv,,,,,,,Español,
"",,,,,,,,,,,,2016-09-01T17:33:20.894Z,1EcLR1GIUq,_User$2prODvgVi6,Estudiantes$puxZU5tR9I,tipoAnuncio$8RDIvLSSbA,,,2016-09-01T17:33:20.894Z,,,,true,"Buenas tardes!\nYa tenemos aquí la sudadera de Santiago. Nos la devolvieron ayer. No tiene nombre, por lo que le pido de favor llevarla a bordar para que no vuelva a suceder, ya que así el colegio no se hace responsable de esto.\nGracias por su apoyo.\nMiss Alexa",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-05-18T18:15:32.150Z,1G1rU93MnN,_User$BuBx2PNe8c,Estudiantes$S0GFRGx9dI,tipoAnuncio$8RDIvLSSbA,,,2016-05-18T18:15:32.150Z,,,,true,"Miss Lala, mi único comentario es darles una felicitación, ya que se ve que su trabajo lo hacen con mucho cariño y dedicación, y se ve reflejado en el conocimiento que tiene mi princesa. Me gusto el nivel de inglés que maneja Miss Gaby, y las herramientas que están utilizando como el iPad, les agradezco que pudimos entrar al salón de clase, porque yo quería conocer el desempeño de mi muñeca en el colegio.\n\nMi nena muy feliz de compartir conmigo su salón, maestras y compañeros.\n\n\nFelicidades",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-18T18:18:14.672Z,1I7WxcVAda,_User$2prODvgVi6,Estudiantes$lgBXhp5LkF,tipoAnuncio$knJCpPHggt,,,2016-11-18T18:18:14.672Z,,,,true,¡Buenas tardes Papitos!\nLes enviamos un cordial saludo y les solicitamos que nos traigan a la brevedad la leche especial de su pequeño y entregarla en carrusel o enfermería. \n¡Gracias!,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-03-08T19:59:25.482Z,1J16GCSbM6,_User$2prODvgVi6,Estudiantes$LorreyTQvF,tipoAnuncio$UvcbCWcRGE,,,2016-03-08T19:59:25.482Z,,,,true,"Buenas tardes papitos de Preescolar:\nLes envío un cordial saludo y hago de su conocimiento la logística para nuestro Festival de Primavera de este sábado 12 de marzo:\nA) La entrada de TODOS los alumnos será a las 9:30 por Moctezuma (calle de atrás del colegio)\nB) Estaremos recibiendo a los pequeños mediante carrusel. NO SE ESTACIONEN para darle flujo y continuidad al recibimiento.\nC) Los pequeños deben de venir ya desayunados. Se les dará un lunch entre presentaciones.\nD) La cancha de futbol de enfrente estará disponible para estacionamiento. Tomar en cuenta que a las 9:30 es el festival de maternal.\nE) La salida de TODOS los alumnos será al término de la segunda presentación. NO HAY MANERA de llevarse a su pequeño(a) antes que esto suceda.\nF) Para la salida, los niños estarán en el comedor y podrá pasar un familiar autorizado a recogerlos por la puerta de la rampa.\nG) Checar la libreta para estar seguros de cómo tienen que venir vestidos y peinados sus pequeños. CADA GRUPO ES DIFERENTE.\nMuchas gracias por su apoyo.\nDirección Preescolar ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-11T21:53:20.463Z,1JjAGrtkEU,_User$efvTuMGGQo,Estudiantes$E9CkqllAYJ,tipoAnuncio$cVxa8V84VG,,,2016-10-11T21:53:20.463Z,,,,true,Hola buenas tardes !!!!\n\nNo se encuentra el manual de español dentro de la mochila de Carmín.\n\nGracias!,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-17T17:31:20.716Z,1RGULdyLMG,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-26T21:35:43.577Z,,,,true,"Manual de español página 42.\nInstrucciones: Encierra en cada recuadro las vocales ""A"" y ""a"" y enciérralas con tu color rojo.\nGracias.\nMiss Carmelita",2016-10-18T17:31:21.000Z,Pointer,grupo,YUlRLGut9k,Pointer,grupo,HxsN3Wf3WF,,,,,,,Español,
"",,,,,,,,,,,,2016-08-30T13:58:41.977Z,1UXbheVHde,_User$2prODvgVi6,Estudiantes$eyaHhdBWHF,tipoAnuncio$8RDIvLSSbA,,,2016-08-30T13:58:41.977Z,,,,true,Buenas días!\nMuchas gracias. En este momento pido que las saquen de la mochila.\nBuen día.,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-04T17:09:40.737Z,1d8wWPgS3l,,,,,,2016-10-04T17:09:40.737Z,,,,,,,Pointer,grupo,64pgpsXXxk,,,,,,,,,,,
true,true,,,,,,,,,,,2016-09-02T00:51:04.906Z,1VH80e0hR9,_User$sX7YqGU1Nl,Estudiantes$C0ZGFwpEvE,tipoAnuncio$8RDIvLSSbA,*,sX7YqGU1Nl,2016-09-02T14:36:01.954Z,*,sX7YqGU1Nl,true,true,"Buenas tardes Miss  Lala.\nMuchas gracias por el mensaje, aunque por el momento el taller de fut no lo abrirán por las obras, tomaremos el paquete de desayuno y comida para que Leo se acostumbre a desayunar y a comer ahí ,así cuando vaya al fut le sea mas fácil. Por el momento estaré yendo por el a las 2:30 cuando termine de comer.\n\nAgradezco mucho su atención.\nSaludos, buena noche.",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2015-11-25T23:39:15.600Z,1XtHUGD47w,_User$VQPcZgN61X,Estudiantes$p6hzoxumov,tipoAnuncio$8RDIvLSSbA,,,2015-12-04T02:46:18.659Z,,,true,true,"Otra prueba, ya que en la visualización del mensaje dice que el mensaje es para Isabella\n\nSaludos",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-28T17:53:38.067Z,1aVWPN4z4M,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-12-07T22:52:13.373Z,,,,true,"¡Buenos días Papitos! \n-Libro antes de escribir página 135.\nRealizar el ejercicio como en el ejemplo. \nGracias por su apoyo. \nMiss Miriam ",2016-11-29T17:53:38.000Z,Pointer,grupo,pSku5ZBZAv,Pointer,grupo,dTbUGaumaH,,,,,,,Español,
"",,,,,,,,,,,,2016-12-12T20:47:09.735Z,1eEigifWZm,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-12-19T11:36:16.747Z,,,,true,"¡Buenas tardes papitos!\nLes envío saludos nuevamente y les comento que esta semana y al regreso de vacaciones, nuestros pequeños pueden venir vestidos con pants del colegio diariamente para evitar el frío y hasta nuevo aviso.\nTambién los invito a donar comida enlatada que la supervisión escolar nos pide para repartir a escuelas de escasos recursos. De preferencia enviarla mañana, ya que no sabemos con exactitud el día de recolección.\nMuchas gracias por su atención.\nCoordinación Preescolar",,Pointer,grupo,pSku5ZBZAv,Pointer,grupo,dTbUGaumaH,Pointer,grupo,YUlRLGut9k,Pointer,grupo,HxsN3Wf3WF,General,
